ShipMode,Segment,Country,City,StateName,PostalCode,Region,Category,SubCategory,Sales,Quantity,Discount,Profit
"Second Class",Consumer,"United States",Columbia,"South Carolina",29203,South,Furniture,Chairs,301.96,2,0.00,33.22
"Second Class",Consumer,"United States",Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0.00,16.54
"Second Class","Home Office","United States","New York City","New York",10009,East,Furniture,Furnishings,96.53,7,0.00,40.54
"Standard Class",Consumer,"United States",Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.20,-3.84
"Standard Class",Corporate,"United States","New York City","New York",10035,East,Furniture,Furnishings,41.96,2,0.00,10.91
"Standard Class",Consumer,"United States",Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.00,165.38
"First Class",Consumer,"United States",Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0.00,18.35
"Second Class","Home Office","United States",Houston,Texas,77041,Central,Furniture,Chairs,600.56,3,0.30,-8.58
"Standard Class",Consumer,"United States",Bloomington,Illinois,61701,Central,Furniture,Tables,617.70,6,0.50,-407.68
"Second Class","Home Office","United States","Los Angeles",California,90004,West,Furniture,Chairs,81.42,2,0.20,-9.16
"Second Class","Home Office","United States","Los Angeles",California,90004,West,Furniture,Furnishings,238.56,3,0.00,26.24
"Standard Class",Consumer,"United States",Roseville,California,95661,West,Furniture,Furnishings,43.12,14,0.00,20.70
"Second Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.80,2,0.20,10.35
"Standard Class","Home Office","United States",Newark,Ohio,43055,East,Furniture,Furnishings,93.89,4,0.20,12.91
"Standard Class",Corporate,"United States",Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0.00,585.55
"Second Class",Consumer,"United States",Seattle,Washington,98115,West,Furniture,Chairs,457.57,2,0.20,51.48
"Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,Furniture,Chairs,1740.06,9,0.30,-24.86
"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,Furniture,Chairs,340.14,7,0.20,21.26
"Second Class",Consumer,"United States",Newark,Ohio,43055,East,Furniture,Chairs,396.80,7,0.30,-11.34
"First Class","Home Office","United States","New York City","New York",10035,East,Furniture,Bookcases,899.14,4,0.20,112.39
"First Class","Home Office","United States","New York City","New York",10035,East,Furniture,Bookcases,626.35,3,0.20,46.98
"First Class",Consumer,"United States",Denver,Colorado,80219,West,Furniture,Tables,218.75,2,0.50,-161.88
"Standard Class",Corporate,"United States",Franklin,Tennessee,37064,South,Furniture,Furnishings,35.17,7,0.20,9.67
"Standard Class",Corporate,"United States",Medina,Ohio,44256,East,Furniture,Bookcases,452.45,5,0.50,-244.32
"First Class",Consumer,"United States",Dublin,Ohio,43017,East,Furniture,Furnishings,72.70,4,0.20,19.08
"Standard Class",Corporate,"United States",Detroit,Michigan,48227,Central,Furniture,Tables,622.45,5,0.00,136.94
"Standard Class",Consumer,"United States",Columbia,Tennessee,38401,South,Furniture,Chairs,161.57,2,0.20,-28.27
"Standard Class",Consumer,"United States",Columbia,Tennessee,38401,South,Furniture,Chairs,389.70,8,0.20,43.84
"Standard Class","Home Office","United States",Tampa,Florida,33614,South,Furniture,Tables,233.86,2,0.45,-102.05
"Standard Class","Home Office","United States",Tampa,Florida,33614,South,Furniture,Tables,620.61,3,0.45,-248.25
"Standard Class","Home Office","United States",Tampa,Florida,33614,South,Furniture,Furnishings,258.07,3,0.20,0.00
"Second Class",Consumer,"United States",Chicago,Illinois,60610,Central,Furniture,Furnishings,419.68,5,0.60,-356.73
"Second Class",Consumer,"United States",Chicago,Illinois,60610,Central,Furniture,Furnishings,11.69,3,0.60,-4.68
"Second Class",Consumer,"United States",Chicago,Illinois,60610,Central,Furniture,Tables,177.23,5,0.50,-120.51
"Second Class",Consumer,"United States",Chicago,Illinois,60610,Central,Furniture,Furnishings,4.04,3,0.60,-2.83
"Second Class","Home Office","United States",Lakeville,Minnesota,55044,Central,Furniture,Chairs,2001.86,7,0.00,580.54
"Second Class",Consumer,"United States","San Francisco",California,94109,West,Furniture,Chairs,321.57,2,0.20,28.14
"Standard Class",Corporate,"United States",Chicago,Illinois,60623,Central,Furniture,Furnishings,12.13,9,0.60,-8.49
"First Class",Consumer,"United States","San Francisco",California,94109,West,Furniture,Furnishings,5.28,3,0.00,2.32
"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,Furniture,Tables,1038.84,5,0.20,51.94
"Second Class","Home Office","United States",Columbus,Ohio,43229,East,Furniture,Bookcases,86.97,3,0.50,-48.70
"First Class",Corporate,"United States","Colorado Springs",Colorado,80906,West,Furniture,Furnishings,300.42,8,0.20,78.86
"First Class",Corporate,"United States","Colorado Springs",Colorado,80906,West,Furniture,Chairs,230.35,3,0.20,20.16
"First Class",Corporate,"United States","Colorado Springs",Colorado,80906,West,Furniture,Furnishings,218.35,3,0.20,-24.56
"Standard Class",Corporate,"United States",Belleville,"New Jersey",7109,East,Furniture,Furnishings,77.60,4,0.00,38.02
"Standard Class",Consumer,"United States",Chicago,Illinois,60623,Central,Furniture,Tables,219.08,3,0.50,-131.45
"Second Class",Corporate,"United States","New York City","New York",10024,East,Furniture,Furnishings,26.80,2,0.00,12.86
"Second Class",Corporate,"United States",Arvada,Colorado,80004,West,Furniture,Furnishings,15.14,4,0.20,3.59
"Second Class",Corporate,"United States",Arvada,Colorado,80004,West,Furniture,Chairs,466.77,2,0.20,52.51
"Second Class",Corporate,"United States",Arvada,Colorado,80004,West,Furniture,Furnishings,15.23,1,0.20,1.71
"Standard Class",Corporate,"United States",Hackensack,"New Jersey",7601,East,Furniture,Furnishings,87.54,3,0.00,37.64
"Standard Class","Home Office","United States","New York City","New York",10024,East,Furniture,Chairs,135.88,1,0.10,24.16
"Second Class",Corporate,"United States",Murfreesboro,Tennessee,37130,South,Furniture,Furnishings,15.99,1,0.20,1.00
"First Class",Consumer,"United States",Philadelphia,Pennsylvania,19143,East,Furniture,Chairs,786.74,4,0.30,-258.50
"Standard Class",Corporate,"United States","San Francisco",California,94122,West,Furniture,Tables,698.35,3,0.20,-17.46
"Standard Class",Consumer,"United States","New York City","New York",10035,East,Furniture,Bookcases,388.70,6,0.20,-4.86
"Standard Class",Consumer,"United States","New York City","New York",10009,East,Furniture,Chairs,488.65,3,0.10,86.87
"Standard Class",Consumer,"United States","New York City","New York",10009,East,Furniture,Furnishings,47.12,8,0.00,20.73
"Same Day",Corporate,"United States",Manchester,Connecticut,6040,East,Furniture,Bookcases,1043.92,4,0.00,271.42
"Standard Class",Corporate,"United States",Franklin,Massachusetts,2038,East,Furniture,Tables,1488.42,7,0.30,-297.68
"Standard Class",Consumer,"United States","Pembroke Pines",Florida,33024,South,Furniture,Tables,375.46,3,0.45,-157.01
"Standard Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,2.96,1,0.20,0.78
"Second Class",Consumer,"United States",Houston,Texas,77036,Central,Furniture,Bookcases,2396.27,4,0.32,-317.15
"Standard Class",Consumer,"United States","San Francisco",California,94110,West,Furniture,Tables,1004.02,7,0.20,-112.95
"Standard Class",Consumer,"United States","San Francisco",California,94110,West,Furniture,Bookcases,1336.83,13,0.15,31.45
"Standard Class",Consumer,"United States","San Francisco",California,94110,West,Furniture,Chairs,113.57,2,0.20,-18.45
"Standard Class",Corporate,"United States",Seattle,Washington,98105,West,Furniture,Chairs,307.14,4,0.20,26.87
"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,Furniture,Chairs,383.80,5,0.20,38.38
"Standard Class",Corporate,"United States",Lawrence,Massachusetts,1841,East,Furniture,Furnishings,56.56,4,0.00,14.71
"Second Class",Consumer,"United States",Jackson,Mississippi,39212,South,Furniture,Chairs,866.40,4,0.00,225.26
"Second Class",Corporate,"United States",Canton,Michigan,48187,Central,Furniture,Furnishings,28.40,2,0.00,11.08
"Second Class",Corporate,"United States","New York City","New York",10024,East,Furniture,Chairs,207.85,3,0.10,2.31
"Second Class",Consumer,"United States",Detroit,Michigan,48227,Central,Furniture,Furnishings,12.22,1,0.00,3.67
"Second Class",Consumer,"United States",Detroit,Michigan,48227,Central,Furniture,Chairs,242.94,3,0.00,29.15
"Second Class",Consumer,"United States",Columbus,Indiana,47201,Central,Furniture,Furnishings,2.91,1,0.00,1.37
"Standard Class",Corporate,"United States",Akron,Ohio,44312,East,Furniture,Tables,284.36,2,0.40,-75.83
"Standard Class",Consumer,"United States",Concord,California,94521,West,Furniture,Chairs,129.57,2,0.20,-24.29
"Standard Class",Consumer,"United States",Decatur,Illinois,62521,Central,Furniture,Chairs,747.56,3,0.30,-96.11
"Standard Class","Home Office","United States",Phoenix,Arizona,85023,West,Furniture,Furnishings,23.56,5,0.20,7.07
"Standard Class","Home Office","United States",Phoenix,Arizona,85023,West,Furniture,Tables,1272.63,6,0.50,-814.48
"Standard Class","Home Office","United States","Park Ridge",Illinois,60068,Central,Furniture,Furnishings,254.74,7,0.60,-312.06
"Standard Class",Corporate,"United States",Amarillo,Texas,79109,Central,Furniture,Bookcases,205.33,2,0.32,-36.24
"Second Class",Consumer,"United States","San Francisco",California,94110,West,Furniture,Bookcases,222.67,2,0.15,10.48
"Standard Class",Consumer,"United States",Troy,"New York",12180,East,Furniture,Furnishings,40.20,3,0.00,19.30
"First Class","Home Office","United States","Los Angeles",California,90045,West,Furniture,Bookcases,514.17,5,0.15,-30.25
"Second Class",Consumer,"United States",Memphis,Tennessee,38109,South,Furniture,Tables,189.88,3,0.40,-94.94
"Standard Class",Consumer,"United States","Costa Mesa",California,92627,West,Furniture,Furnishings,255.76,4,0.00,81.84
"Standard Class",Consumer,"United States","Costa Mesa",California,92627,West,Furniture,Chairs,241.57,2,0.20,18.12
"Standard Class",Consumer,"United States","Costa Mesa",California,92627,West,Furniture,Furnishings,69.30,9,0.00,22.87
"Standard Class",Corporate,"United States",Parker,Colorado,80134,West,Furniture,Chairs,801.57,2,0.20,50.10
"First Class",Consumer,"United States",Gladstone,Missouri,64118,Central,Furniture,Furnishings,126.30,3,0.00,40.42
"First Class",Corporate,"United States",Detroit,Michigan,48234,Central,Furniture,Tables,210.98,2,0.00,21.10
"Standard Class","Home Office","United States",Lakeland,Florida,33801,South,Furniture,Chairs,683.95,3,0.20,42.75
"Standard Class","Home Office","United States",Lakeland,Florida,33801,South,Furniture,Furnishings,45.70,3,0.20,5.14
"Second Class",Corporate,"United States","Los Angeles",California,90036,West,Furniture,Chairs,190.72,1,0.20,11.92
"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,Furniture,Furnishings,47.94,3,0.00,2.40
"Standard Class",Consumer,"United States",Henderson,Kentucky,42420,South,Furniture,Chairs,283.92,4,0.00,70.98
"Standard Class",Consumer,"United States","Fort Worth",Texas,76106,Central,Furniture,Furnishings,66.11,4,0.60,-84.29
"Second Class",Consumer,"United States","San Francisco",California,94110,West,Furniture,Chairs,1121.57,2,0.20,0.00
"First Class",Consumer,"United States",Jacksonville,Florida,32216,South,Furniture,Furnishings,34.50,1,0.20,6.04
"Standard Class",Consumer,"United States","Los Angeles",California,90045,West,Furniture,Tables,1335.68,4,0.20,-217.05
"Second Class",Consumer,"United States","San Francisco",California,94110,West,Furniture,Furnishings,42.60,3,0.00,16.61
"Second Class",Consumer,"United States",Tampa,Florida,33614,South,Furniture,Furnishings,13.13,3,0.20,3.77
"Standard Class",Corporate,"United States",Seattle,Washington,98105,West,Furniture,Chairs,451.15,3,0.20,0.00
"Standard Class",Consumer,"United States",Chicago,Illinois,60610,Central,Furniture,Furnishings,8.79,1,0.60,-5.71
"Standard Class",Consumer,"United States",Richmond,Kentucky,40475,South,Furniture,Chairs,70.98,1,0.00,4.97
"Standard Class",Consumer,"United States","San Diego",California,92024,West,Furniture,Furnishings,327.76,8,0.00,91.77
"Standard Class",Consumer,"United States",Tampa,Florida,33614,South,Furniture,Furnishings,45.70,3,0.20,5.14
"Second Class",Corporate,"United States","New York City","New York",10011,East,Furniture,Furnishings,40.48,2,0.00,15.79
"Second Class",Corporate,"United States","New York City","New York",10011,East,Furniture,Furnishings,9.94,2,0.00,3.08
"Second Class",Corporate,"United States","New York City","New York",10011,East,Furniture,Furnishings,88.02,3,0.00,27.29
"Standard Class",Corporate,"United States",Dearborn,Michigan,48126,Central,Furniture,Chairs,301.96,2,0.00,87.57
"Standard Class","Home Office","United States","New York City","New York",10009,East,Furniture,Furnishings,35.56,7,0.00,12.09
"Second Class",Corporate,"United States","Warner Robins",Georgia,31088,South,Furniture,Chairs,392.94,3,0.00,43.22
"Standard Class","Home Office","United States",Vallejo,California,94591,West,Furniture,Furnishings,1049.20,5,0.00,272.79
"Standard Class",Corporate,"United States",Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,18.84,3,0.00,6.03
"Second Class",Corporate,"United States",Vancouver,Washington,98661,West,Furniture,Furnishings,14.80,4,0.00,6.07
"Same Day","Home Office","United States",Aurora,Illinois,60505,Central,Furniture,Chairs,701.37,2,0.30,-50.10
"Standard Class",Consumer,"United States",Arlington,Texas,76017,Central,Furniture,Tables,918.79,5,0.30,-118.13
"First Class",Consumer,"United States",Cleveland,Ohio,44105,East,Furniture,Furnishings,30.36,5,0.20,8.73
"Standard Class","Home Office","United States",Chicago,Illinois,60653,Central,Furniture,Furnishings,23.98,3,0.60,-14.39
"Standard Class","Home Office","United States",Chicago,Illinois,60653,Central,Furniture,Tables,108.93,1,0.50,-71.89
"Standard Class",Consumer,"United States",Tyler,Texas,75701,Central,Furniture,Furnishings,82.52,3,0.60,-41.26
"Standard Class",Consumer,"United States","New York City","New York",10035,East,Furniture,Bookcases,191.98,2,0.20,4.80
"Second Class",Consumer,"United States",Waynesboro,Virginia,22980,South,Furniture,Furnishings,104.01,1,0.00,14.56
"Standard Class",Corporate,"United States",Cleveland,Ohio,44105,East,Furniture,Furnishings,15.07,3,0.20,4.14
"Second Class",Corporate,"United States",Seattle,Washington,98103,West,Furniture,Furnishings,209.88,3,0.00,35.68
"Standard Class",Consumer,"United States","Long Beach",California,90805,West,Furniture,Tables,369.91,3,0.20,-13.87
"First Class",Consumer,"United States","New York City","New York",10035,East,Furniture,Bookcases,883.92,5,0.20,-110.49
"First Class",Consumer,"United States",Dover,Delaware,19901,East,Furniture,Furnishings,9.94,2,0.00,3.08
"Standard Class",Consumer,"United States",Newark,Ohio,43055,East,Furniture,Furnishings,103.06,3,0.20,24.48
"Standard Class","Home Office","United States",Orem,Utah,84057,West,Furniture,Furnishings,73.32,6,0.00,22.00
"Standard Class",Corporate,"United States",Detroit,Michigan,48205,Central,Furniture,Tables,1652.94,3,0.00,231.41
"Standard Class","Home Office","United States",Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,129.92,5,0.20,21.11
"First Class",Consumer,"United States",Oceanside,"New York",11572,East,Furniture,Tables,400.03,2,0.40,-153.35
"First Class",Consumer,"United States",Oceanside,"New York",11572,East,Furniture,Chairs,542.65,3,0.10,102.50
"Standard Class","Home Office","United States",Seattle,Washington,98115,West,Furniture,Bookcases,84.98,1,0.00,18.70
"Same Day",Corporate,"United States","San Diego",California,92105,West,Furniture,Tables,567.12,10,0.20,-28.36
"Standard Class",Consumer,"United States",Trenton,Michigan,48183,Central,Furniture,Furnishings,157.74,11,0.00,56.79
"Standard Class",Consumer,"United States","Los Angeles",California,90036,West,Furniture,Furnishings,79.92,4,0.00,28.77
"Standard Class",Corporate,"United States",Jacksonville,Florida,32216,South,Furniture,Tables,383.44,4,0.45,-167.32
"Standard Class",Corporate,"United States","Saint Petersburg",Florida,33710,South,Furniture,Furnishings,310.88,2,0.20,23.32
"Standard Class",Consumer,"United States",Arlington,Virginia,22204,South,Furniture,Chairs,641.96,2,0.00,179.75
"Standard Class",Corporate,"United States","Des Moines",Iowa,50315,Central,Furniture,Furnishings,34.58,7,0.00,14.52
"First Class","Home Office","United States","San Francisco",California,94110,West,Furniture,Chairs,544.01,3,0.20,40.80
"Second Class",Consumer,"United States",Columbus,Ohio,43229,East,Furniture,Bookcases,35.49,1,0.50,-15.62
"Standard Class",Consumer,"United States",Lancaster,California,93534,West,Furniture,Chairs,348.93,2,0.20,34.89
"Standard Class",Consumer,"United States",Richmond,Virginia,23223,South,Furniture,Chairs,332.94,3,0.00,79.91
"Standard Class",Consumer,"United States","Lake Elsinore",California,92530,West,Furniture,Chairs,283.92,5,0.20,17.75
"First Class",Corporate,"United States","San Diego",California,92105,West,Furniture,Furnishings,22.23,1,0.00,7.34
"First Class",Consumer,"United States","San Francisco",California,94122,West,Furniture,Furnishings,18.28,2,0.00,6.22
"First Class",Consumer,"United States",Omaha,Nebraska,68104,Central,Furniture,Furnishings,28.40,2,0.00,11.08
"First Class",Consumer,"United States",Edmonds,Washington,98026,West,Furniture,Tables,1298.55,5,0.00,311.65
"Same Day",Consumer,"United States","Santa Ana",California,92704,West,Furniture,Furnishings,18.28,2,0.00,6.22
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,1228.47,5,0.30,0.00
"Second Class",Consumer,"United States",Florence,Kentucky,41042,South,Furniture,Chairs,301.96,2,0.00,90.59
"Standard Class",Corporate,"United States","New York City","New York",10035,East,Furniture,Bookcases,186.05,4,0.20,9.30
"Standard Class",Consumer,"United States",Louisville,Kentucky,40214,South,Furniture,Chairs,287.94,3,0.00,77.74
"Standard Class",Consumer,"United States",Lorain,Ohio,44052,East,Furniture,Furnishings,48.90,4,0.20,8.56
"Standard Class",Consumer,"United States","New York City","New York",10035,East,Furniture,Furnishings,44.46,2,0.00,14.67
"Standard Class",Corporate,"United States",Springfield,Virginia,22153,South,Furniture,Furnishings,51.94,1,0.00,21.30
"Standard Class","Home Office","United States",Concord,"New Hampshire",3301,East,Furniture,Furnishings,322.59,3,0.00,64.52
"Second Class","Home Office","United States","New York City","New York",10024,East,Furniture,Chairs,1242.90,5,0.10,262.39
"First Class","Home Office","United States",Detroit,Michigan,48227,Central,Furniture,Furnishings,31.40,5,0.00,10.05
"Standard Class",Consumer,"United States",Rochester,"New York",14609,East,Furniture,Furnishings,17.46,2,0.00,5.94
"Standard Class",Consumer,"United States","New York City","New York",10009,East,Furniture,Bookcases,323.14,4,0.20,12.12
"Standard Class","Home Office","United States",Norwich,Connecticut,6360,East,Furniture,Furnishings,22.20,6,0.00,9.10
"First Class",Corporate,"United States",Milwaukee,Wisconsin,53209,Central,Furniture,Furnishings,46.94,1,0.00,19.25
"Standard Class",Corporate,"United States","San Antonio",Texas,78207,Central,Furniture,Tables,99.92,2,0.30,-18.56
"Standard Class",Corporate,"United States","San Antonio",Texas,78207,Central,Furniture,Chairs,797.94,4,0.30,-57.00
"Standard Class",Corporate,"United States",Torrance,California,90503,West,Furniture,Tables,1114.27,4,0.20,41.79
"First Class",Consumer,"United States",Mesa,Arizona,85204,West,Furniture,Tables,393.17,3,0.50,-204.45
"Standard Class","Home Office","United States",Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,516.49,7,0.20,-12.91
"Standard Class","Home Office","United States",Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,1007.23,6,0.20,75.54
"Standard Class","Home Office","United States",Philadelphia,Pennsylvania,19120,East,Furniture,Tables,2065.32,12,0.40,-619.60
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19143,East,Furniture,Furnishings,25.47,4,0.20,7.64
"Standard Class",Consumer,"United States","Round Rock",Texas,78664,Central,Furniture,Bookcases,78.85,2,0.32,-11.60
"Same Day",Consumer,"United States",Oceanside,California,92054,West,Furniture,Furnishings,204.60,2,0.00,53.20
"Standard Class",Corporate,"United States","San Francisco",California,94110,West,Furniture,Chairs,321.57,2,0.20,28.14
"Second Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,127.10,6,0.20,28.60
"Standard Class",Consumer,"United States","New York City","New York",10035,East,Furniture,Chairs,599.29,6,0.10,93.22
"Second Class",Consumer,"United States",Louisville,Colorado,80027,West,Furniture,Chairs,603.92,5,0.20,75.49
"Standard Class",Corporate,"United States",Auburn,"New York",13021,East,Furniture,Furnishings,520.05,5,0.00,72.81
"Second Class","Home Office","United States",Jacksonville,Florida,32216,South,Furniture,Chairs,1166.92,5,0.20,131.28
"Standard Class",Consumer,"United States",Henderson,Kentucky,42420,South,Furniture,Furnishings,24.10,5,0.00,9.16
"Standard Class",Consumer,"United States",Henderson,Kentucky,42420,South,Furniture,Furnishings,33.11,7,0.00,12.91
"Same Day",Consumer,"United States","New York City","New York",10024,East,Furniture,Tables,1090.78,7,0.40,-290.88
"First Class",Consumer,"United States","San Diego",California,92037,West,Furniture,Furnishings,151.72,4,0.00,27.31
"Second Class",Consumer,"United States",Olympia,Washington,98502,West,Furniture,Furnishings,155.25,3,0.00,46.58
"Second Class",Consumer,"United States",Seattle,Washington,98103,West,Furniture,Tables,1618.37,13,0.00,356.04
"Standard Class",Corporate,"United States","New York City","New York",10011,East,Furniture,Furnishings,13.96,2,0.00,6.70
"Standard Class",Corporate,"United States","New York City","New York",10011,East,Furniture,Furnishings,155.82,3,0.00,63.89
"Standard Class",Consumer,"United States",Washington,"District of Columbia",20016,East,Furniture,Chairs,1267.53,3,0.00,316.88
"Standard Class",Corporate,"United States",Hackensack,"New Jersey",7601,East,Furniture,Chairs,854.94,3,0.00,213.74
"Standard Class",Corporate,"United States",Hackensack,"New Jersey",7601,East,Furniture,Furnishings,124.11,9,0.00,52.13
"Standard Class","Home Office","United States","Jefferson City",Missouri,65109,Central,Furniture,Furnishings,86.62,2,0.00,8.66
"Standard Class","Home Office","United States","Saint Peters",Missouri,63376,Central,Furniture,Tables,697.16,4,0.00,146.40
"Second Class",Consumer,"United States","New York City","New York",10035,East,Furniture,Bookcases,722.35,3,0.20,90.29
"Standard Class","Home Office","United States",Rockford,Illinois,61107,Central,Furniture,Chairs,254.60,14,0.30,-18.19
"Standard Class",Consumer,"United States",Miami,Florida,33142,South,Furniture,Furnishings,102.36,3,0.20,-3.84
"First Class",Corporate,"United States",Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,168.46,2,0.20,-29.48
"First Class",Corporate,"United States",Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,282.89,9,0.20,56.58
"Standard Class","Home Office","United States","New York City","New York",10009,East,Furniture,Furnishings,108.40,2,0.00,22.76
"Standard Class",Consumer,"United States",Houston,Texas,77095,Central,Furniture,Chairs,107.77,2,0.30,-29.25
"First Class",Consumer,"United States","San Francisco",California,94122,West,Furniture,Chairs,194.85,4,0.20,12.18
"Standard Class",Corporate,"United States",Detroit,Michigan,48227,Central,Furniture,Chairs,1106.91,9,0.00,121.76
"Standard Class",Consumer,"United States",Yonkers,"New York",10701,East,Furniture,Tables,836.59,8,0.40,-264.92
"Standard Class",Corporate,"United States",Monroe,"North Carolina",28110,South,Furniture,Furnishings,31.98,2,0.20,2.00
"First Class",Corporate,"United States","Los Angeles",California,90049,West,Furniture,Tables,447.84,5,0.20,11.20
"First Class","Home Office","United States","San Francisco",California,94122,West,Furniture,Furnishings,8.73,3,0.00,4.10
"Standard Class",Consumer,"United States",Houston,Texas,77041,Central,Furniture,Furnishings,2.33,2,0.60,-0.76
"Second Class",Consumer,"United States",Encinitas,California,92024,West,Furniture,Bookcases,119.83,1,0.15,-12.69
"Standard Class",Consumer,"United States",Jonesboro,Arkansas,72401,South,Furniture,Furnishings,38.60,4,0.00,11.58
"Standard Class",Consumer,"United States",Jonesboro,Arkansas,72401,South,Furniture,Chairs,1067.94,3,0.00,224.27
"Standard Class",Consumer,"United States",Springfield,Virginia,22153,South,Furniture,Tables,343.92,4,0.00,75.66
"Standard Class",Consumer,"United States","Los Angeles",California,90045,West,Furniture,Furnishings,204.60,2,0.00,53.20
"Standard Class",Corporate,"United States","Cuyahoga Falls",Ohio,44221,East,Furniture,Furnishings,8.35,6,0.20,1.25
"First Class","Home Office","United States",Harrisonburg,Virginia,22801,South,Furniture,Tables,2244.48,7,0.00,493.79
"First Class","Home Office","United States",Harrisonburg,Virginia,22801,South,Furniture,Tables,455.10,2,0.00,100.12
"Second Class",Corporate,"United States","Los Angeles",California,90004,West,Furniture,Chairs,195.18,1,0.20,19.52
"Second Class",Consumer,"United States","New York City","New York",10035,East,Furniture,Furnishings,109.48,2,0.00,33.94
"Standard Class",Consumer,"United States",Rockville,Maryland,20852,East,Furniture,Chairs,172.50,2,0.00,51.75
"Second Class","Home Office","United States","Los Angeles",California,90036,West,Furniture,Chairs,892.22,3,0.20,89.22
"Same Day",Corporate,"United States","Coral Springs",Florida,33065,South,Furniture,Furnishings,15.71,4,0.20,2.55
"Same Day",Corporate,"United States","Coral Springs",Florida,33065,South,Furniture,Furnishings,55.97,1,0.20,-2.10
"Standard Class",Consumer,"United States",Houston,Texas,77041,Central,Furniture,Chairs,95.98,4,0.30,-4.11
"Standard Class",Corporate,"United States",Denver,Colorado,80219,West,Furniture,Chairs,544.01,3,0.20,40.80
"Standard Class",Corporate,"United States",Denver,Colorado,80219,West,Furniture,Chairs,854.35,3,0.20,10.68
"Second Class",Corporate,"United States","New York City","New York",10009,East,Furniture,Bookcases,579.14,4,0.20,21.72
"Standard Class",Corporate,"United States",Philadelphia,Pennsylvania,19134,East,Furniture,Chairs,141.37,2,0.30,-48.47
