ShipMode,Segment,Country,City,StateName,PostalCode,Region,Category,SubCategory,Sales,Quantity,Discount,Profit
"Second Class","Home Office","United States",Columbus,Ohio,43229,East,Technology,Accessories,255.98,2,0.20,54.40
"First Class",Corporate,"United States","Colorado Springs",Colorado,80906,West,Furniture,Furnishings,300.42,8,0.20,78.86
"Standard Class","Home Office","United States",Lakewood,"New Jersey",8701,East,"Office Supplies",Art,289.20,6,0.00,83.87
"Second Class",Corporate,"United States",Arvada,Colorado,80004,West,Furniture,Chairs,466.77,2,0.20,52.51
"Standard Class","Home Office","United States","New York City","New York",10024,East,Technology,Phones,275.94,6,0.00,80.02
"Standard Class","Home Office","United States","New York City","New York",10024,East,Technology,Accessories,360.00,4,0.00,129.60
"Standard Class",Corporate,"United States",Hesperia,California,92345,West,"Office Supplies",Binders,251.52,6,0.20,81.74
"First Class",Corporate,"United States",Columbus,Georgia,31907,South,"Office Supplies",Appliances,647.84,8,0.00,168.44
"Standard Class",Consumer,"United States","New York City","New York",10009,East,Furniture,Chairs,488.65,3,0.10,86.87
"Standard Class",Consumer,"United States",Tucson,Arizona,85705,West,Technology,Accessories,1023.94,8,0.20,179.19
"Standard Class",Corporate,"United States",Seattle,Washington,98105,West,"Office Supplies",Paper,139.86,7,0.00,65.73
"First Class",Consumer,"United States",Louisville,Colorado,80027,West,Technology,Accessories,196.75,6,0.20,56.57
"Second Class",Corporate,"United States",Canton,Michigan,48187,Central,"Office Supplies",Binders,287.92,8,0.00,138.20
"Standard Class","Home Office","United States",Gastonia,"North Carolina",28052,South,Technology,Accessories,408.74,7,0.20,76.64
"Standard Class","Home Office","United States",Gastonia,"North Carolina",28052,South,Technology,Accessories,291.96,5,0.20,54.74
"Second Class","Home Office","United States",Chicago,Illinois,60623,Central,"Office Supplies",Paper,313.49,7,0.20,113.64
"Second Class",Consumer,"United States",Auburn,"New York",13021,East,"Office Supplies",Art,263.88,6,0.00,71.25
"Standard Class",Corporate,"United States",Akron,Ohio,44312,East,"Office Supplies",Storage,665.41,2,0.20,66.54
"Second Class",Consumer,"United States","San Francisco",California,94110,West,Technology,Phones,703.97,4,0.20,88.00
"Standard Class",Corporate,"United States","New York City","New York",10024,East,"Office Supplies",Storage,704.25,5,0.00,84.51
"Standard Class",Consumer,"United States","New York City","New York",10024,East,Technology,Accessories,159.98,2,0.00,57.59
"Standard Class",Consumer,"United States",Fayetteville,Arkansas,72701,South,"Office Supplies",Envelopes,105.42,2,0.00,51.66
"Standard Class",Consumer,"United States","Costa Mesa",California,92627,West,Furniture,Furnishings,255.76,4,0.00,81.84
"Standard Class",Corporate,"United States",Parker,Colorado,80134,West,Furniture,Chairs,801.57,2,0.20,50.10
"Standard Class","Home Office","United States","Great Falls",Montana,59405,West,"Office Supplies",Storage,1126.02,3,0.00,56.30
"Standard Class",Consumer,"United States",Henderson,Kentucky,42420,South,Furniture,Chairs,283.92,4,0.00,70.98
"Second Class",Consumer,"United States","Long Beach",California,90805,West,"Office Supplies",Paper,160.72,14,0.00,78.75
"Standard Class",Consumer,"United States",Denver,Colorado,80219,West,Technology,Phones,470.38,3,0.20,52.92
"Standard Class",Consumer,"United States",Richmond,Kentucky,40475,South,"Office Supplies",Labels,294.93,3,0.00,144.52
"Standard Class",Consumer,"United States","San Diego",California,92024,West,Technology,Phones,445.96,5,0.20,55.75
"Standard Class",Consumer,"United States","San Diego",California,92024,West,Furniture,Furnishings,327.76,8,0.00,91.77
"Standard Class",Corporate,"United States",Dearborn,Michigan,48126,Central,Furniture,Chairs,301.96,2,0.00,87.57
"Standard Class",Corporate,"United States",Dearborn,Michigan,48126,Central,"Office Supplies",Appliances,555.21,5,0.10,178.90
"Standard Class",Corporate,"United States",Dearborn,Michigan,48126,Central,"Office Supplies",Storage,523.48,4,0.00,130.87
"Second Class",Consumer,"United States",Miami,Florida,33180,South,"Office Supplies",Labels,235.94,3,0.20,85.53
"Second Class",Consumer,"United States","Mission Viejo",California,92691,West,"Office Supplies",Storage,330.40,2,0.00,85.90
"Standard Class",Consumer,"United States","Rochester Hills",Michigan,48307,Central,Technology,Accessories,132.52,4,0.00,54.33
"Standard Class","Home Office","United States",Columbus,Indiana,47201,Central,"Office Supplies",Appliances,209.30,2,0.00,56.51
"Standard Class","Home Office","United States","New York City","New York",10024,East,"Office Supplies",Paper,379.40,10,0.00,178.32
"Standard Class",Consumer,"United States",Arlington,Texas,76017,Central,"Office Supplies",Storage,999.43,7,0.20,124.93
"First Class",Consumer,"United States",Jackson,Mississippi,39212,South,Technology,Accessories,479.97,3,0.00,163.19
"Second Class",Consumer,"United States",Waynesboro,Virginia,22980,South,Technology,Phones,284.82,1,0.00,74.05
"First Class","Home Office","United States",Chester,Pennsylvania,19013,East,"Office Supplies",Envelopes,200.98,7,0.20,62.81
"First Class",Consumer,"United States","New York City","New York",10035,East,Technology,Accessories,119.96,4,0.00,52.78
"Standard Class",Corporate,"United States","Mount Vernon","New York",10550,East,"Office Supplies",Appliances,281.34,6,0.00,109.72
"Standard Class",Corporate,"United States","Mount Vernon","New York",10550,East,Technology,Phones,307.98,2,0.00,89.31
"Standard Class",Corporate,"United States","Mount Vernon","New York",10550,East,Technology,Accessories,299.97,3,0.00,113.99
"Standard Class","Home Office","United States","Los Angeles",California,90045,West,"Office Supplies",Paper,146.82,3,0.00,73.41
"Standard Class",Corporate,"United States",Detroit,Michigan,48205,Central,"Office Supplies",Storage,296.37,3,0.00,80.02
"First Class",Consumer,"United States",Oceanside,"New York",11572,East,"Office Supplies",Paper,182.72,8,0.00,84.05
"First Class",Consumer,"United States",Oceanside,"New York",11572,East,Furniture,Chairs,542.65,3,0.10,102.50
"Standard Class","Home Office","United States",Seattle,Washington,98115,West,Technology,Accessories,179.97,3,0.00,86.39
"Standard Class",Consumer,"United States",Trenton,Michigan,48183,Central,Furniture,Furnishings,157.74,11,0.00,56.79
"Standard Class",Consumer,"United States",Arlington,Virginia,22204,South,Furniture,Chairs,641.96,2,0.00,179.75
"Standard Class",Corporate,"United States","Des Moines",Iowa,50315,Central,Technology,Phones,207.00,3,0.00,51.75
"Standard Class",Corporate,"United States",Columbia,"South Carolina",29203,South,"Office Supplies",Envelopes,186.69,3,0.00,87.74
"Standard Class",Consumer,"United States",Richmond,Virginia,23223,South,"Office Supplies",Binders,143.96,4,0.00,69.10
"Standard Class",Consumer,"United States",Richmond,Virginia,23223,South,Furniture,Chairs,332.94,3,0.00,79.91
"Same Day",Consumer,"United States",Asheville,"North Carolina",28806,South,Technology,Phones,1363.96,5,0.20,85.25
"First Class",Corporate,"United States",Rochester,"New York",14609,East,"Office Supplies",Paper,132.79,7,0.00,63.74
"Second Class",Corporate,"United States","New York City","New York",10024,East,"Office Supplies",Appliances,355.32,9,0.00,99.49
"First Class",Consumer,"United States",Omaha,Nebraska,68104,Central,Technology,Accessories,149.97,3,0.00,50.99
"First Class",Consumer,"United States",Edmonds,Washington,98026,West,"Office Supplies",Appliances,213.92,4,0.00,62.04
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Paper,335.52,4,0.20,117.43
"Standard Class",Consumer,"United States",Belleville,"New Jersey",7109,East,Technology,Accessories,239.97,3,0.00,71.99
"Second Class",Consumer,"United States",Florence,Kentucky,41042,South,Furniture,Chairs,301.96,2,0.00,90.59
"Second Class",Consumer,"United States",Florence,Kentucky,41042,South,"Office Supplies",Appliances,180.66,3,0.00,50.58
"Second Class",Consumer,"United States",Florence,Kentucky,41042,South,Technology,Phones,191.98,2,0.00,51.83
"Standard Class",Consumer,"United States",Louisville,Kentucky,40214,South,Furniture,Chairs,287.94,3,0.00,77.74
"Standard Class",Consumer,"United States",Jackson,Mississippi,39212,South,"Office Supplies",Art,185.88,6,0.00,50.19
"Standard Class",Consumer,"United States",Charlotte,"North Carolina",28205,South,"Office Supplies",Paper,192.16,5,0.20,67.26
"Standard Class","Home Office","United States",Concord,"New Hampshire",3301,East,Furniture,Furnishings,322.59,3,0.00,64.52
"Standard Class","Home Office","United States",Concord,"New Hampshire",3301,East,Technology,Accessories,371.97,3,0.00,66.95
"First Class","Home Office","United States",Detroit,Michigan,48227,Central,Technology,Phones,543.92,8,0.00,135.98
"Standard Class",Consumer,"United States",Detroit,Michigan,48227,Central,"Office Supplies",Labels,103.60,7,0.00,51.80
"Standard Class","Home Office","United States",Jackson,Michigan,49201,Central,"Office Supplies",Storage,352.38,2,0.00,81.05
"First Class",Corporate,"United States",Milwaukee,Wisconsin,53209,Central,Technology,Accessories,143.73,9,0.00,56.05
"Standard Class",Corporate,"United States",Dallas,Texas,75220,Central,"Office Supplies",Envelopes,149.35,3,0.20,50.41
"Standard Class",Consumer,"United States","New York City","New York",10009,East,"Office Supplies",Appliances,406.60,5,0.00,113.85
"First Class",Consumer,"United States",Philadelphia,Pennsylvania,19143,East,Technology,Accessories,252.00,5,0.20,53.55
"First Class",Corporate,"United States",Farmington,"New Mexico",87401,West,Technology,Accessories,159.99,1,0.00,54.40
"Standard Class",Consumer,"United States",Seattle,Washington,98105,West,"Office Supplies",Storage,540.57,3,0.00,140.55
"Standard Class",Consumer,"United States",Seattle,Washington,98105,West,"Office Supplies",Binders,167.76,5,0.20,62.91
"Standard Class","Home Office","United States",Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,1007.23,6,0.20,75.54
"Same Day",Consumer,"United States",Oceanside,California,92054,West,Furniture,Furnishings,204.60,2,0.00,53.20
"First Class","Home Office","United States","New York City","New York",10011,East,"Office Supplies",Paper,191.60,4,0.00,91.97
"Standard Class",Consumer,"United States","New York City","New York",10035,East,Furniture,Chairs,599.29,6,0.10,93.22
"Second Class",Consumer,"United States",Louisville,Colorado,80027,West,Technology,Phones,559.98,2,0.20,56.00
"Second Class",Consumer,"United States",Louisville,Colorado,80027,West,Furniture,Chairs,603.92,5,0.20,75.49
"Standard Class",Corporate,"United States",Auburn,"New York",13021,East,Furniture,Furnishings,520.05,5,0.00,72.81
"Second Class","Home Office","United States",Jacksonville,Florida,32216,South,Furniture,Chairs,1166.92,5,0.20,131.28
"First Class",Consumer,"United States","San Jose",California,95123,West,"Office Supplies",Paper,154.90,5,0.00,69.71
"Standard Class",Corporate,"United States","Virginia Beach",Virginia,23464,South,Technology,Phones,617.97,3,0.00,173.03
"Standard Class",Consumer,"United States",Murrieta,California,92563,West,"Office Supplies",Storage,484.65,3,0.00,92.08
"Standard Class",Corporate,"United States","New York City","New York",10011,East,Furniture,Furnishings,155.82,3,0.00,63.89
"Standard Class",Corporate,"United States","New York City","New York",10011,East,"Office Supplies",Storage,601.65,5,0.00,156.43
"Standard Class",Corporate,"United States",Hackensack,"New Jersey",7601,East,"Office Supplies",Paper,177.20,5,0.00,83.28
"Standard Class",Corporate,"United States",Hackensack,"New Jersey",7601,East,Technology,Phones,197.97,3,0.00,57.41
"Standard Class",Corporate,"United States",Hackensack,"New Jersey",7601,East,Furniture,Furnishings,124.11,9,0.00,52.13
"Standard Class","Home Office","United States","Saint Peters",Missouri,63376,Central,Furniture,Tables,697.16,4,0.00,146.40
"Second Class",Consumer,"United States","New York City","New York",10035,East,Furniture,Bookcases,722.35,3,0.20,90.29
"Standard Class",Consumer,"United States",Miami,Florida,33142,South,Technology,Phones,1363.96,5,0.20,85.25
"Second Class",Consumer,"United States","San Francisco",California,94109,West,Technology,Phones,1113.50,12,0.20,125.27
"First Class",Corporate,"United States",Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,282.89,9,0.20,56.58
"Standard Class",Corporate,"United States",Detroit,Michigan,48227,Central,Furniture,Chairs,1106.91,9,0.00,121.76
"Standard Class",Consumer,"United States",Yonkers,"New York",10701,East,"Office Supplies",Storage,362.92,2,0.00,105.25
"Standard Class","Home Office","United States",Clinton,Maryland,20735,East,"Office Supplies",Appliances,355.96,2,0.00,103.23
"Second Class",Consumer,"United States",Encinitas,California,92024,West,Technology,Accessories,119.98,2,0.00,57.59
"Standard Class",Consumer,"United States",Roswell,Georgia,30076,South,"Office Supplies",Paper,279.90,5,0.00,137.15
"Standard Class",Consumer,"United States",Roswell,Georgia,30076,South,Technology,Accessories,619.95,5,0.00,111.59
"Standard Class",Consumer,"United States",Jonesboro,Arkansas,72401,South,Technology,Phones,699.93,7,0.00,181.98
"Standard Class","Home Office","United States",Richmond,Indiana,47374,Central,"Office Supplies",Envelopes,101.88,6,0.00,50.94
"Standard Class",Consumer,"United States",Springfield,Virginia,22153,South,Furniture,Tables,343.92,4,0.00,75.66
"Second Class",Corporate,"United States","La Porte",Indiana,46350,Central,"Office Supplies",Envelopes,287.52,8,0.00,129.38
"Standard Class",Consumer,"United States","Los Angeles",California,90045,West,Furniture,Furnishings,204.60,2,0.00,53.20
"Same Day",Consumer,"United States",Lansing,Michigan,48911,Central,"Office Supplies",Appliances,644.08,2,0.10,107.35
"Standard Class",Corporate,"United States",Reno,Nevada,89502,West,"Office Supplies",Binders,159.77,7,0.20,53.92
"First Class","Home Office","United States",Harrisonburg,Virginia,22801,South,Furniture,Tables,455.10,2,0.00,100.12
"Standard Class",Consumer,"United States",Minneapolis,Minnesota,55407,Central,"Office Supplies",Appliances,362.94,3,0.00,90.74
"Standard Class",Consumer,"United States",Rockville,Maryland,20852,East,Furniture,Chairs,172.50,2,0.00,51.75
"Second Class","Home Office","United States",Houston,Texas,77070,Central,Technology,Accessories,258.70,3,0.20,64.67
"Standard Class",Corporate,"United States",Seattle,Washington,98103,West,"Office Supplies",Storage,197.58,2,0.00,53.35
"Second Class","Home Office","United States","Los Angeles",California,90036,West,Technology,Phones,889.54,8,0.20,66.72
"Second Class","Home Office","United States","Los Angeles",California,90036,West,Furniture,Chairs,892.22,3,0.20,89.22
"Second Class","Home Office","United States","Los Angeles",California,90036,West,"Office Supplies",Paper,223.92,4,0.00,109.72
"Standard Class",Consumer,"United States",Houston,Texas,77041,Central,Technology,Accessories,431.93,9,0.20,64.79
"Standard Class",Corporate,"United States",Philadelphia,Pennsylvania,19134,East,Technology,Accessories,258.70,3,0.20,64.67
"First Class",Corporate,"United States",Cincinnati,Ohio,45231,East,Technology,Copiers,839.99,2,0.40,70.00
"Standard Class",Consumer,"United States","New York City","New York",10009,East,"Office Supplies",Binders,398.35,3,0.20,124.49
"Second Class",Consumer,"United States",Fresno,California,93727,West,Furniture,Tables,764.69,6,0.20,95.59
"Second Class",Consumer,"United States",Fresno,California,93727,West,Furniture,Tables,3610.85,12,0.20,135.41
"Standard Class",Consumer,"United States","New York City","New York",10009,East,Furniture,Chairs,1141.94,9,0.10,139.57
"Second Class","Home Office","United States",Charlotte,"North Carolina",28205,South,Technology,Accessories,255.68,8,0.20,76.70
"Standard Class",Consumer,"United States",Jacksonville,Florida,32216,South,Technology,Phones,863.88,3,0.20,107.99
"First Class",Consumer,"United States","Cedar Rapids",Iowa,52402,Central,Technology,Phones,278.40,3,0.00,80.74
"First Class",Consumer,"United States",Jacksonville,Florida,32216,South,"Office Supplies",Paper,251.64,3,0.20,88.07
"Standard Class",Consumer,"United States","San Diego",California,92105,West,"Office Supplies",Paper,114.20,5,0.00,52.53
"Standard Class",Consumer,"United States",Pueblo,Colorado,81001,West,"Office Supplies",Appliances,845.73,13,0.20,84.57
"Second Class",Consumer,"United States",Springfield,Virginia,22153,South,Furniture,Furnishings,572.76,6,0.00,166.10
"Second Class",Consumer,"United States",Springfield,Virginia,22153,South,Furniture,Furnishings,286.38,3,0.00,83.05
"Standard Class",Consumer,"United States",Columbus,Georgia,31907,South,Technology,Phones,287.97,3,0.00,77.75
"Second Class",Consumer,"United States",Houston,Texas,77036,Central,Technology,Phones,419.94,7,0.20,52.49
"Standard Class",Consumer,"United States",Lawrence,Massachusetts,1841,East,"Office Supplies",Labels,122.12,4,0.00,56.18
"Standard Class",Corporate,"United States","Los Angeles",California,90032,West,Furniture,Furnishings,183.84,8,0.00,62.51
"Standard Class",Corporate,"United States",Deltona,Florida,32725,South,Technology,Phones,575.92,2,0.20,71.99
"Standard Class","Home Office","United States","Los Angeles",California,90049,West,"Office Supplies",Binders,140.74,8,0.20,52.78
"Second Class",Consumer,"United States","New York City","New York",10011,East,Technology,Phones,677.58,3,0.00,176.17
"First Class","Home Office","United States","Pico Rivera",California,90660,West,Furniture,Furnishings,145.90,5,0.00,62.74
"Standard Class",Consumer,"United States",Provo,Utah,84604,West,Furniture,Tables,912.75,5,0.00,118.66
"Same Day","Home Office","United States",Smyrna,Georgia,30080,South,"Office Supplies",Paper,348.84,9,0.00,170.93
"Same Day","Home Office","United States",Smyrna,Georgia,30080,South,Furniture,Bookcases,239.98,2,0.00,52.80
"Same Day","Home Office","United States",Smyrna,Georgia,30080,South,"Office Supplies",Envelopes,167.96,2,0.00,78.94
"Same Day","Home Office","United States",Smyrna,Georgia,30080,South,Technology,Phones,484.83,3,0.00,126.06
"Same Day","Home Office","United States",Smyrna,Georgia,30080,South,"Office Supplies",Paper,122.97,3,0.00,60.26
"Same Day","Home Office","United States",Smyrna,Georgia,30080,South,"Office Supplies",Paper,342.37,7,0.00,160.91
"Standard Class","Home Office","United States",Salem,Virginia,24153,South,"Office Supplies",Envelopes,251.79,3,0.00,118.34
"Standard Class","Home Office","United States",Columbus,Ohio,43229,East,"Office Supplies",Paper,419.40,5,0.20,146.79
"Standard Class",Corporate,"United States","New York City","New York",10035,East,Furniture,Chairs,408.01,2,0.10,72.53
"Standard Class",Consumer,"United States","New York City","New York",10024,East,"Office Supplies",Binders,334.77,7,0.20,108.80
"First Class",Corporate,"United States",Houston,Texas,77041,Central,Technology,Phones,946.34,7,0.20,118.29
"Second Class",Corporate,"United States",Salinas,California,93905,West,"Office Supplies",Labels,427.42,14,0.00,196.61
"Second Class",Consumer,"United States",Florence,Alabama,35630,South,"Office Supplies",Binders,152.76,6,0.00,74.85
"Second Class",Consumer,"United States",Florence,Alabama,35630,South,Furniture,Chairs,1819.86,14,0.00,163.79
"Standard Class",Consumer,"United States",Chicago,Illinois,60623,Central,Technology,Phones,1979.93,9,0.20,148.49
"Standard Class","Home Office","United States",Columbus,Georgia,31907,South,Furniture,Tables,452.94,3,0.00,67.94
"Standard Class","Home Office","United States","Los Angeles",California,90008,West,Technology,Phones,1212.85,7,0.20,106.12
"Standard Class",Corporate,"United States","New York City","New York",10035,East,Furniture,Chairs,977.29,6,0.10,173.74
"Standard Class",Consumer,"United States",Austin,Texas,78745,Central,"Office Supplies",Paper,223.06,9,0.20,69.71
"Standard Class",Consumer,"United States",Columbus,Georgia,31907,South,Technology,Machines,396.00,4,0.00,190.08
"Standard Class",Corporate,"United States",Pomona,California,91767,West,"Office Supplies",Art,385.60,8,0.00,111.82
"Second Class",Consumer,"United States","North Las Vegas",Nevada,89031,West,Furniture,Tables,1669.60,4,0.00,116.87
"Standard Class",Consumer,"United States",Tucson,Arizona,85705,West,"Office Supplies",Paper,198.27,8,0.20,61.96
"Second Class",Consumer,"United States",Everett,Massachusetts,2149,East,"Office Supplies",Binders,242.48,7,0.00,116.39
"Second Class",Corporate,"United States",Watertown,"New York",13601,East,Furniture,Bookcases,1573.49,7,0.20,196.69
"Standard Class",Corporate,"United States","San Antonio",Texas,78207,Central,"Office Supplies",Paper,335.52,4,0.20,117.43
"First Class",Consumer,"United States","New York City","New York",10011,East,Technology,Copiers,559.99,1,0.20,175.00
"Standard Class",Consumer,"United States","San Diego",California,92024,West,"Office Supplies",Paper,111.96,2,0.00,54.86
"Standard Class",Consumer,"United States",Richmond,Kentucky,40475,South,"Office Supplies",Binders,124.75,5,0.00,57.39
"Same Day",Consumer,"United States","Los Angeles",California,90004,West,"Office Supplies",Paper,122.97,3,0.00,60.26
"First Class",Consumer,"United States","New York City","New York",10024,East,Technology,Phones,307.98,2,0.00,89.31
"First Class",Consumer,"United States","New York City","New York",10024,East,"Office Supplies",Paper,143.70,3,0.00,68.98
"First Class",Corporate,"United States","New York City","New York",10011,East,Furniture,Furnishings,547.30,13,0.00,175.14
"Standard Class",Consumer,"United States",Kent,Washington,98031,West,Furniture,Furnishings,198.46,2,0.00,99.23
"Standard Class",Consumer,"United States","Los Angeles",California,90049,West,Technology,Phones,675.96,5,0.20,84.50
"Standard Class","Home Office","United States","New York City","New York",10011,East,"Office Supplies",Appliances,523.25,5,0.00,141.28
"Standard Class",Consumer,"United States",Lafayette,Louisiana,70506,South,Furniture,Chairs,517.50,6,0.00,155.25
"Same Day",Consumer,"United States",Cleveland,Ohio,44105,East,"Office Supplies",Storage,1006.06,3,0.20,88.03
"First Class",Corporate,"United States",Seattle,Washington,98115,West,"Office Supplies",Paper,209.70,2,0.00,100.66
"Same Day",Corporate,"United States","San Francisco",California,94110,West,"Office Supplies",Paper,109.92,2,0.00,53.86
"First Class",Consumer,"United States",Seattle,Washington,98105,West,Technology,Accessories,132.52,4,0.00,54.33
"Standard Class",Consumer,"United States",Plano,Texas,75023,Central,Technology,Phones,167.97,4,0.20,62.99
"First Class",Consumer,"United States",Suffolk,Virginia,23434,South,"Office Supplies",Labels,196.62,2,0.00,96.34
"Second Class","Home Office","United States",Bayonne,"New Jersey",7002,East,Technology,Phones,104.98,2,0.00,52.49
"Second Class",Consumer,"United States",Seattle,Washington,98115,West,Furniture,Tables,515.88,6,0.00,113.49
"Standard Class",Consumer,"United States","New York City","New York",10011,East,"Office Supplies",Appliances,242.90,5,0.00,70.44
"Standard Class",Consumer,"United States",Chicago,Illinois,60623,Central,Technology,Accessories,255.97,4,0.20,51.19
"First Class",Corporate,"United States","San Francisco",California,94122,West,"Office Supplies",Storage,559.62,9,0.00,151.10
"First Class",Corporate,"United States","San Francisco",California,94122,West,"Office Supplies",Paper,109.92,2,0.00,53.86
"Second Class","Home Office","United States","Fort Worth",Texas,76106,Central,"Office Supplies",Paper,360.71,11,0.20,130.76
"Second Class","Home Office","United States","Fort Worth",Texas,76106,Central,Technology,Phones,1718.40,6,0.20,150.36
"Standard Class",Corporate,"United States",Baltimore,Maryland,21215,East,"Office Supplies",Storage,497.61,9,0.00,129.38
"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,"Office Supplies",Paper,368.91,9,0.00,180.77
"Standard Class",Corporate,"United States",Franklin,Massachusetts,2038,East,"Office Supplies",Binders,122.94,3,0.00,59.01
"Standard Class",Corporate,"United States",Milwaukee,Wisconsin,53209,Central,"Office Supplies",Paper,219.84,4,0.00,107.72
"Standard Class",Corporate,"United States",Kenosha,Wisconsin,53142,Central,Technology,Phones,134.97,3,0.00,64.79
"Standard Class",Corporate,"United States",Kenosha,Wisconsin,53142,Central,Technology,Phones,699.98,2,0.00,195.99
"First Class","Home Office","United States","New York City","New York",10024,East,Technology,Phones,347.97,3,0.00,100.91
"Standard Class",Consumer,"United States","San Jose",California,95123,West,Furniture,Furnishings,215.65,5,0.00,73.32
"First Class",Corporate,"United States","Los Angeles",California,90049,West,Technology,Accessories,254.24,7,0.00,76.27
"Second Class","Home Office","United States",Raleigh,"North Carolina",27604,South,Technology,Phones,1127.98,3,0.20,126.90
"Same Day","Home Office","United States",Muskogee,Oklahoma,74403,Central,Furniture,Tables,262.11,1,0.00,62.91
"Second Class",Consumer,"United States","South Bend",Indiana,46614,Central,Technology,Accessories,831.20,5,0.00,124.68
"First Class",Corporate,"United States",Bristol,Connecticut,6010,East,"Office Supplies",Appliances,137.62,2,0.00,60.55
"First Class",Corporate,"United States",Henderson,Nevada,89015,West,Furniture,Furnishings,196.45,5,0.00,70.72
"Standard Class",Corporate,"United States","San Francisco",California,94122,West,Furniture,Chairs,801.57,2,0.20,50.10
"Same Day",Consumer,"United States","New York City","New York",10011,East,Furniture,Chairs,383.61,7,0.10,63.93
"Same Day",Consumer,"United States","New York City","New York",10011,East,"Office Supplies",Storage,563.40,4,0.00,67.61
"Standard Class","Home Office","United States",Philadelphia,Pennsylvania,19143,East,"Office Supplies",Paper,217.06,7,0.20,78.68
"Standard Class",Consumer,"United States",Missoula,Montana,59801,West,"Office Supplies",Binders,487.98,2,0.20,152.50
"Second Class",Corporate,"United States",Houston,Texas,77041,Central,"Office Supplies",Paper,273.90,7,0.20,92.44
"First Class",Consumer,"United States",Roswell,Georgia,30076,South,Technology,Accessories,149.95,5,0.00,65.98
"Second Class","Home Office","United States",Detroit,Michigan,48227,Central,Technology,Phones,299.90,2,0.00,74.98
"First Class",Corporate,"United States",Watertown,"New York",13601,East,Furniture,Chairs,462.56,2,0.10,97.65
"Second Class",Corporate,"United States",Arlington,Texas,76017,Central,Technology,Phones,863.64,9,0.20,107.96
"Standard Class",Corporate,"United States","San Francisco",California,94110,West,Technology,Accessories,199.98,2,0.00,69.99
